job_filing_number,filing_reason,house_no,street_name,borough,block,lot,bin,work_on_floor,work_type,work_permit,estimated_job_costs,job_description,issued_date
B01193526-I1,Initial Permit,24,MOTHER GASTON BOULEVARD,BROOKLYN,1528,33,3041566,"Cellar, Floor Number(s) 1 through 14, Roof",General Construction,B01193526-I1-GC,11400000.0,"Interior renovation of a 14-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: select cellar locations, entrance lobby, select dwelling units and egress stairs. New canopies and over cladding of the facade",2025-09-23T00:00:00.000
B01193896-I1,Initial Permit,309,MACDOUGAL STREET,BROOKLYN,1529,1,3324696,"Cellar, Floor Number(s) 1 through 14, Roof",General Construction,B01193896-I1-GC,11625000.0,"Interior renovation of a 14-story NYCHA multiple dwelling. Renovation and improvements at the Cellar, entrance lobby, dwelling units, egress stairs, and community room. New laundry facility and office @ ground fl. New canopies and over cladding of facade",2025-09-23T00:00:00.000
B01194144-I1,Initial Permit,671,WILLOUGHBY AVENUE,BROOKLYN,1761,63,3048928,"Cellar, Floor Number(s) 1 through 4, Roof",General Construction,B01194144-I1-GC,3280000.0,Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations and select dwelling units.,2025-09-23T00:00:00.000
B01194206-I1,Initial Permit,281,THROOP AVENUE,BROOKLYN,1769,1,3049204,"Cellar, Floor Number(s) 1 through 4, Roof",General Construction,B01194206-I1-GC,5000000.0,"Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations, common corridors, egress stairs, and select dwelling units.",2025-09-23T00:00:00.000
B01194650-I1,Initial Permit,770,GATES AVENUE,BROOKLYN,1635,41,3044631,"Cellar, Floor Number(s) 1 through 4, Roof",General Construction,B01194650-I1-GC,4685000.0,"Interior renovation of a 4-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: cellar floor, select dwelling units, and community facility rooms. New canopies and over cladding of the facade at entrances",2025-09-23T00:00:00.000
B01194774-I1,Initial Permit,835,GATES AVENUE,BROOKLYN,1631,1,3044505,"Cellar, Floor Number(s) 1 through 4, Roof",General Construction,B01194774-I1-GC,11530000.0,"Interior renovation of a 4-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: select cellar floor locations, select dwelling units, and community facility spaces. New canopies and over cladding of the facade.",2025-09-23T00:00:00.000
B01194865-I1,Initial Permit,865,GATES AVENUE,BROOKLYN,1631,31,3044520,"Cellar, Floor Number(s) 1 through 4, Roof",General Construction,B01194865-I1-GC,9685000.0,Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations and select dwelling units. New canopies and over cladding of the facade.,2025-09-23T00:00:00.000
B01219309-I1,Initial Permit,1711,FULTON STREET,BROOKLYN,1691,12,3325183,Floor Number(s) 1 through 6,General Construction,B01219309-I1-GC-CX,15400000.0,"INT. REMOVALS & INSTALLATIONS OF NON-LOAD BEARING PARTITIONS, FLOOR, WALL & CLG FINISHES. REPAIR/REPLACEMENT OF WINDOWS & 1FL FRONT ENTRY AND ROOF MEMBRANE/INSULATION REPAIR AND/OR REPLACEMENT. PER PLANS. NO CHANGE OF USE EGRESS OR OCCUPANCY.",2025-09-23T00:00:00.000
B01219309-I1,Initial Permit,1711,FULTON STREET,BROOKLYN,1691,12,3325183,Floor Number(s) 1 through 6,Structural,B01219309-I1-GC-CX,15400000.0,"INT. REMOVALS & INSTALLATIONS OF NON-LOAD BEARING PARTITIONS, FLOOR, WALL & CLG FINISHES. REPAIR/REPLACEMENT OF WINDOWS & 1FL FRONT ENTRY AND ROOF MEMBRANE/INSULATION REPAIR AND/OR REPLACEMENT. PER PLANS. NO CHANGE OF USE EGRESS OR OCCUPANCY.",2025-09-23T00:00:00.000
B01289042-I1,Initial Permit,140A,58 STREET,BROOKLYN,5778,1,3257059,Sidewalk,Sidewalk Shed,B01289042-I1-SH,1005500.0,"INSTALLATION OF SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",2025-09-23T00:00:00.000
B08038958-I1,Initial Permit,2131,ORIENTAL BOULEVARD,BROOKLYN,8760,60,3397343,Floor Number(s) 01 through 02,General Construction,B08038958-I1-GC,1110590.0,"KBCC T7  Bldg, Exterior roof repairs as per the plans filed including: Removal and replacement of the existing roof membrane, flashings, etc. (for roofs requiring additional thermal insulation pursuant to requirements of NYC ECC).",2025-09-23T00:00:00.000
M00915364-I1,Initial Permit,230,EAST  123 STREET,MANHATTAN,1787,80,1054629,"Floor Number(s) 1 through 1, Floor Number(s) 6 through 35, Open Space, Roof",General Construction,M00915364-I1-GC,8000000.0,"Application filed for interior apartment renovations; lobby renovation; roof repairs; ramp repairs, as per drawings filed herewith.",2025-09-23T00:00:00.000
M00915366-I1,Initial Permit,2385,2 AVENUE,MANHATTAN,1787,70,1054628,"Floor Number(s) 1 through 1, Floor Number(s) 6 through 35, Open Space, Roof",General Construction,M00915366-I1-GC,8000000.0,"Application filed for interior apartment renovations; lobby renovation; roof repairs; ramp repairs, as per drawings filed herewith.",2025-09-23T00:00:00.000
M01178920-S2,Initial Permit,2,LEXINGTON AVENUE,MANHATTAN,877,18,1017990,Floor Number(s) 003 through 17,Plumbing,M01178920-S2-PL,7998584.8,Modifications to existing Plumbing System related to Guestrooms renovation.,2025-09-23T00:00:00.000
