city,permit_id,issue_date,full_address,borough_area,zip_code,project_description,estimated_cost,contractor_name,contractor_license,applicant_name,owner_name,architect_name,license_status,business_address,business_phone,work_type,block,lot,bin,data_source,scraped_at
New York City,B01193526-I1,2025-09-23,24 MOTHER GASTON BOULEVARD,BROOKLYN,N/A,"Interior renovation of a 14-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: select cellar locations, entrance lobby, select dwelling units and egress stairs. New canopies and over cladding of the facade",11400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1528,33,3041566,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01193896-I1,2025-09-23,309 MACDOUGAL STREET,BROOKLYN,N/A,"Interior renovation of a 14-story NYCHA multiple dwelling. Renovation and improvements at the Cellar, entrance lobby, dwelling units, egress stairs, and community room. New laundry facility and office @ ground fl. New canopies and over cladding of facade",11625000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1529,1,3324696,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01194144-I1,2025-09-23,671 WILLOUGHBY AVENUE,BROOKLYN,N/A,Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations and select dwelling units.,3280000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1761,63,3048928,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01194206-I1,2025-09-23,281 THROOP AVENUE,BROOKLYN,N/A,"Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations, common corridors, egress stairs, and select dwelling units.",5000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1769,1,3049204,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01194650-I1,2025-09-23,770 GATES AVENUE,BROOKLYN,N/A,"Interior renovation of a 4-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: cellar floor, select dwelling units, and community facility rooms. New canopies and over cladding of the facade at entrances",4685000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1635,41,3044631,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01194774-I1,2025-09-23,835 GATES AVENUE,BROOKLYN,N/A,"Interior renovation of a 4-story NYCHA multiple dwelling. Includes renovation and improvements at the following locations: select cellar floor locations, select dwelling units, and community facility spaces. New canopies and over cladding of the facade.",11530000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1631,1,3044505,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01194865-I1,2025-09-23,865 GATES AVENUE,BROOKLYN,N/A,Interior renovation of a 4-story NYCHA multiple dwelling as part of the PACT Program. Includes renovation and improvements at the following locations: select cellar floor locations and select dwelling units. New canopies and over cladding of the facade.,9685000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1631,31,3044520,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01219309-I1,2025-09-23,1711 FULTON STREET,BROOKLYN,N/A,"INT. REMOVALS & INSTALLATIONS OF NON-LOAD BEARING PARTITIONS, FLOOR, WALL & CLG FINISHES. REPAIR/REPLACEMENT OF WINDOWS & 1FL FRONT ENTRY AND ROOF MEMBRANE/INSULATION REPAIR AND/OR REPLACEMENT. PER PLANS. NO CHANGE OF USE EGRESS OR OCCUPANCY.",15400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,General Construction,1691,12,3325183,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01219309-I1,2025-09-23,1711 FULTON STREET,BROOKLYN,N/A,"INT. REMOVALS & INSTALLATIONS OF NON-LOAD BEARING PARTITIONS, FLOOR, WALL & CLG FINISHES. REPAIR/REPLACEMENT OF WINDOWS & 1FL FRONT ENTRY AND ROOF MEMBRANE/INSULATION REPAIR AND/OR REPLACEMENT. PER PLANS. NO CHANGE OF USE EGRESS OR OCCUPANCY.",15400000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Structural,1691,12,3325183,New York City Open Data (Real Data),2025-09-25 11:11:23
New York City,B01289042-I1,2025-09-23,140A 58 STREET,BROOKLYN,N/A,"INSTALLATION OF SIDEWALK SHED AS PER PLANS. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",1005500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sidewalk Shed,5778,1,3257059,New York City Open Data (Real Data),2025-09-25 11:11:23
